CustomerID,Name,City,Area,Email,Phone,JoinDate,TotalOrders,LastOrderDate
C0001,Indrajit Vala,Kolkata,Andheri,vardaniyakrishnamurthy@yahoo.com,+917326866282,2023-06-13,40,2025-11-15
C0002,Hazel Babu,Delhi,Banjara Hills,shanayakapadia@tara.com,06284072697,2024-05-31,17,2025-11-07
C0003,Vanya Agarwal,Chennai,T Nagar,wagleazad@hotmail.com,+910309487219,2023-05-06,26,2025-11-06
C0004,Bhavin Raval,Pune,Andheri,agarwalrenee@hotmail.com,+912409753730,2024-03-12,5,2025-11-23
C0005,Umang Badal,Delhi,T Nagar,dhruvkanda@gmail.com,+919061663394,2024-02-04,6,2025-11-06
C0006,Anay Bains,Pune,Banjara Hills,qchhabra@gmail.com,5584779190,2024-02-27,15,2025-11-24
C0007,Advik Sachar,Kolkata,CP,shrayvirk@gmail.com,2530016085,2023-09-20,16,2025-11-11
C0008,Kavya Chakrabarti,Hyderabad,HSR,vkashyap@yahoo.com,04708116320,2025-08-27,7,2025-11-21
C0009,Dhanush Chatterjee,Hyderabad,Viman Nagar,sumerbarad@gmail.com,+912417746665,2024-08-26,37,2025-11-30
C0010,Adah Rout,Chennai,T Nagar,adahdara@gmail.com,+910411748161,2023-07-07,19,2025-11-25
C0011,Hrishita Aggarwal,Delhi,Salt Lake,diya32@hotmail.com,05240819126,2025-10-08,18,2025-11-14
C0012,Vanya Borah,Mumbai,Banjara Hills,seher98@gmail.com,8667280696,2024-03-06,22,2025-11-06
C0013,Advika Comar,Hyderabad,Salt Lake,rbail@yahoo.com,04350871601,2024-04-08,27,2025-11-16
C0014,Miraan Chand,Pune,Kothrud,dhanuk87@yahoo.com,9290444136,2025-03-24,18,2025-11-17
C0015,Aarna Deo,Pune,Viman Nagar,kashvi20@deo-tailor.net,00622557645,2024-03-18,24,2025-11-11
C0016,Mohanlal Shan,Chennai,Salt Lake,ojaschad@yahoo.com,08007319947,2023-08-28,3,2025-11-19
C0017,Tiya Walia,Chennai,Salt Lake,ramanindrans@gmail.com,08010529146,2023-01-08,12,2025-11-20
C0018,Arhaan Chana,Pune,Rohini,johaldivit@kade.com,2592730769,2024-11-14,9,2025-11-16
